\Company,location,province,tag
3V Sigma SPA,Bergamo,,
A.T.F. Automations,LurateCaccivio,Lombardy
Abate Basilio & C. SNC,Calcinato,Lombardy
Acimga,Milano,,
ACMA SERVICE srl,Casumaro,Emilia-Romagna
Adler S.r.l.,Barasso,Lombardy
AGIPLAST s.r.l.,Casalbuttano,,Premium-Aussteller
AGRIPAK S.r.l.,Milano,,
Aigle Macchine S.r.l.,BorgaroTorinese,PiedmontRubber & TPE
Airprotech S.r.l.,Magenta,Lombardy
AL.MA. S.r.l. Packing and Packaging Machinery,Cadorago,Lombardy
ALESSIOHITECH SRL,Medolago,Lombardy
Alfa Stampi srl,AdraraSanMartino,,Rubber & TPE
ALFATECH S.r.l.,Tradate,LombardyRubber & TPE
Alphamac srl,OzzanoDell'Emilia,Emilia-Romagna
Amaplast,Assago,
AMIK ITALIA SPA,Milano,,
AMOTEK Sales & Service S.r.l.,ZolaPredosa,,
AMUT Group,Novara,,
AMUT-COMI S.P.A.,Vigevano,Lombardy
Amutec s.r.l. con socio unico,GreveinChianti,Tuscany
Aquatech s.r.l.,S.MariadiSala,Veneto
ARCA Srl,Pordenone,,
AREA S.r.l.,Rodano,Lombardy
ARIOSTEA MHS S.r.l.,PratodiCorreggio,Emilia-Romagna
Arzuffi S.r.l.,Bernareggio,,
ASA-RT S.r.l.,Turin,,
Asco Pompe S.r.l.,Rozzano,Lombardy
Auserpolimeri Srl,PianodiCoreglia,TuscanyRubber & TPE
Automa by Magic Srl,Imola,Emilia-Romagna
B.G. Plast Impianti S.r.l.,Marnate,Lombardy
Baruffaldi Plastic Technology Srl,Fusignano,,
Battaggion S.p.A.,Bergamo,,Rubber & TPE
Battaglio SRL Unipersonale,Nave,Lombardy
Bauer Compressori SRL Unipersonale,Arcugnano,Veneto
Bausano & Figli S.p.A.,RivaroloCanavese,Piedmont
BD Plast Filtering Systems S.r.l.,Bondeno,Emilia-Romagna
Beccaria S.r.l.,Scarnafigi,,
Belotti S.p.A.,Suisio,Lombardy
BFM S.r.l.,SolbiateOlona,Lombardy
Bieffebi S.r.l,QuartoInferiore,Emilia-Romagna
Biesse S.p.A.,Pesaro,,Premium-Aussteller
BIMEC S.r.l.,Vanzaghello,Lombardy
Binova S.r.l.,Oleggio,Piedmont
Blauwer spa,Borgoricco-PADOVA,,
BM Industria Bergamasca Mobili S.p.A.,Bagnatica,Lombardy
BMB S.p.A.,Brescia,,
BMTEK by Kimatic srl,Cadriano,,Premium-Aussteller
BMZ Moulds s.r.l.,MolinettodiMazzano,Lombardy
BOCA srl,SanPietroMosezzo,Piedmont
Bonfanti S.r.l.,Ambivere,Lombardy
BRIXIA PLAST S.R.L.,Cazzago,,
BROFIND S.p.a.,Milano,Lombardy
Bruno Folcieri S.r.l.,Volongo,,
C.I.E.R. S.r.l. Compagnia Italiana Di Ecologia e Riciclaggio,Castellalto,,
C.M.S. S.p.A.,Zogno,Lombardy
C.O.I.M. S.p.A.,SettimoMilanese,LombardyRubber & TPE
C2 srl,Vigevano,,Rubber & TPE
CACCIA GROUP - AES S.r.l.,Samarate,,
CAIOLA FILIERE SRL,Casciago,LombardyRubber & TPE
Camis Srl,Milan,,
Campetella Robotic Center S.r.l.,Montecassiano,Marche
Cannon S.p.A.,PeschieraBorromeo,Lombardy
Cannon S.p.A.,CaronnoPertusella,Lombardy
CANTONI S.r.l.,Lecco,,
CASON SRL,MontonatediMornago,Lombardy
CATTORINI Costruzioni Meccaniche SRL,SommaLombardo-VA-,,
CAVALLERI Srl Unipersonale,ArquataScrivia,,
CDM Engineering S.r.l. OMP Prealpina,BustoArsizio,Lombardy
CEFLA S.C.,Imola,Emilia-Romagna
CEMAS ELETTRA s.r.l.,Carmagnola,,
